payment_id,user_id,transaction_type,amount,currency,amount_usd,payment_method,status,transaction_date,processing_time_hours,fee_usd,exchange_rate,payment_provider
PAY_9A83CF26,USR_471232A0,Withdrawal,259.99,AUD,1237.68,Neteller,Cancelled,2023-06-14 00:00:00,21.3,31.78,0.9082,Crypto
PAY_4F1468A8,USR_FA8C057A,Deposit,7582.9,EUR,4188.99,Credit Card,Failed,2020-09-17 00:00:00,11.9,34.24,1.4959,Crypto
PAY_728CF395,USR_79DD8394,Deposit,7092.48,AUD,2422.11,PayPal,Failed,2020-12-07 00:00:00,13.0,10.13,1.114,PayPal
PAY_1BBA2BCC,USR_C49EFC8B,Deposit,2317.34,GBP,6646.4,Bank Transfer,Completed,2022-04-10 00:00:00,10.6,39.06,0.9102,Stripe
PAY_D239016A,USR_81BDA58C,Withdrawal,3312.09,USD,8535.92,PayPal,Completed,2022-07-06 00:00:00,42.2,34.87,0.8977,Crypto
PAY_B341F8F8,USR_F224CC0E,Withdrawal,436.42,EUR,5801.23,Wire Transfer,Pending,2021-10-27 00:00:00,16.6,29.53,0.8058,Crypto
PAY_4E64551E,USR_84886982,Withdrawal,3620.41,JPY,7254.72,Wire Transfer,Failed,2022-09-01 00:00:00,62.4,26.42,1.0555,Bank
PAY_D9D9E8CB,USR_C579E05C,Withdrawal,3382.26,CAD,8836.79,Neteller,Failed,2023-10-26 00:00:00,0.5,0.75,1.2447,Crypto
PAY_9911A3B7,USR_360BE76C,Deposit,2033.68,EUR,7537.99,Bank Transfer,Failed,2021-06-15 00:00:00,6.9,32.3,1.1027,PayPal
PAY_ADDAE316,USR_5B9E8BC6,Deposit,1050.78,AUD,4626.42,Neteller,Cancelled,2022-06-08 00:00:00,53.5,5.13,0.8151,Crypto
PAY_8A453114,USR_6A041771,Withdrawal,6555.61,CAD,2673.64,PayPal,Pending,2023-06-03 00:00:00,18.3,28.44,1.1481,PayPal
PAY_76798206,USR_ECF810EA,Deposit,589.21,USD,85.16,Wire Transfer,Pending,2021-10-31 00:00:00,45.1,9.57,0.8402,Stripe
PAY_091E6133,USR_662FB8D4,Withdrawal,6177.03,AUD,9534.78,Bank Transfer,Completed,2021-11-15 00:00:00,48.6,45.14,0.8558,Bank
PAY_73C78BCD,USR_D7067870,Deposit,4993.16,CAD,8382.47,PayPal,Cancelled,2020-07-13 00:00:00,36.9,20.92,1.3245,PayPal
PAY_D27AAE14,USR_2169680B,Withdrawal,857.27,USD,2800.73,Neteller,Failed,2023-06-02 00:00:00,44.9,12.92,1.0201,Stripe
PAY_F1953067,USR_FEA9678B,Withdrawal,7652.34,GBP,590.25,Wire Transfer,Completed,2023-07-08 00:00:00,21.2,35.6,0.9932,Crypto
PAY_6603C6B0,USR_3DCA5365,Deposit,6627.07,AUD,8130.19,Wire Transfer,Completed,2022-05-05 00:00:00,51.0,39.23,1.4478,Stripe
PAY_61C7F420,USR_35C1703C,Withdrawal,6466.89,AUD,1109.71,Skrill,Pending,2024-10-27 00:00:00,68.2,35.75,1.4188,Stripe
PAY_8CC2DA2D,USR_39886664,Deposit,7245.9,AUD,8374.63,PayPal,Completed,2022-07-19 00:00:00,38.0,47.33,0.9379,Bank
PAY_6BCB34E0,USR_56558494,Withdrawal,3741.19,USD,236.66,Wire Transfer,Completed,2024-10-01 00:00:00,33.6,41.13,0.8283,PayPal
PAY_BAAA7F80,USR_36388FAA,Deposit,3933.67,CAD,5765.34,Wire Transfer,Completed,2022-05-30 00:00:00,50.7,44.99,1.4693,Bank
PAY_849D7383,USR_60923582,Deposit,8980.97,GBP,2510.92,Wire Transfer,Failed,2023-11-18 00:00:00,55.7,44.13,1.333,Stripe
PAY_06754439,USR_A2A75E14,Withdrawal,1580.34,CAD,3828.81,Wire Transfer,Failed,2020-12-07 00:00:00,24.7,44.17,0.9832,Crypto
PAY_1E5577BB,USR_606A582B,Deposit,923.07,EUR,2554.25,PayPal,Completed,2020-11-14 00:00:00,18.0,42.34,1.304,Crypto
PAY_27AD99AB,USR_3A01FCBC,Withdrawal,823.69,GBP,7848.72,Wire Transfer,Failed,2021-02-01 00:00:00,25.5,15.37,1.2683,Stripe
PAY_ACB2FF90,USR_BD6B23A1,Deposit,8015.16,AUD,9851.36,Credit Card,Completed,2023-05-16 00:00:00,12.5,24.96,1.1968,Bank
PAY_B0DBA0CF,USR_56079508,Withdrawal,8687.13,EUR,8210.78,Neteller,Pending,2024-01-14 00:00:00,49.4,16.86,1.102,Crypto
PAY_817BFA8F,USR_AD7DDF35,Withdrawal,4255.96,GBP,2969.77,Bank Transfer,Cancelled,2023-01-28 00:00:00,36.6,36.51,1.0833,Stripe
PAY_E1B7751E,USR_F6B062F3,Withdrawal,6715.85,EUR,7006.9,PayPal,Cancelled,2022-06-07 00:00:00,14.6,3.44,1.2099,PayPal
PAY_0B6EDA0D,USR_17326A7A,Deposit,6367.64,AUD,8967.51,Neteller,Completed,2021-08-23 00:00:00,44.9,1.91,1.0379,Crypto
PAY_A53C2DAD,USR_D0C57955,Withdrawal,6008.12,AUD,2508.58,Wire Transfer,Completed,2021-02-15 00:00:00,39.8,39.44,0.8329,PayPal
PAY_36C5C94B,USR_3018426F,Withdrawal,1248.8,CAD,7025.11,Bank Transfer,Pending,2024-05-05 00:00:00,14.1,18.11,1.4289,Bank
PAY_AA142DF7,USR_0385C4BC,Deposit,4078.72,CAD,3040.94,Wire Transfer,Cancelled,2020-04-28 00:00:00,45.1,38.98,1.2222,Crypto
PAY_5F2EC1C1,USR_6DA7A828,Deposit,5421.9,EUR,4639.06,Wire Transfer,Completed,2022-10-18 00:00:00,71.0,28.21,1.1016,Stripe
PAY_4AC937C3,USR_78FD75EE,Deposit,361.22,JPY,6398.6,Neteller,Pending,2024-04-23 00:00:00,9.3,18.94,1.0853,Crypto
PAY_6893FEFD,USR_E21FA7A2,Withdrawal,5600.43,EUR,4755.32,Skrill,Pending,2023-09-27 00:00:00,18.4,47.14,0.9682,Bank
PAY_34E09191,USR_D312ACAB,Deposit,3270.72,JPY,8023.45,Neteller,Completed,2021-06-25 00:00:00,21.1,26.65,1.4963,PayPal
PAY_9D9BA5EF,USR_7A0348C9,Withdrawal,6439.0,JPY,1404.36,Credit Card,Failed,2024-03-28 00:00:00,15.1,44.87,1.007,Stripe
PAY_E05300E4,USR_98961D15,Deposit,4549.67,USD,5412.17,Skrill,Cancelled,2020-12-09 00:00:00,20.3,18.24,0.8722,Crypto
PAY_82814725,USR_E44AB8BF,Deposit,5801.7,CAD,2799.51,Credit Card,Completed,2023-04-06 00:00:00,49.1,26.46,0.8796,PayPal
PAY_2CD7E6CF,USR_ADEC8612,Deposit,3642.5,EUR,7923.38,Credit Card,Failed,2023-02-22 00:00:00,18.7,45.41,0.818,Bank
PAY_FF892912,USR_5C637A89,Deposit,8177.42,AUD,7717.14,Neteller,Failed,2022-06-08 00:00:00,33.9,41.56,0.81,Stripe
PAY_2DC6DB23,USR_CA61C9BC,Deposit,190.54,CAD,2325.25,Neteller,Pending,2024-01-10 00:00:00,26.4,12.99,1.2711,Bank
PAY_E3BD7C99,USR_30E68069,Deposit,5513.72,AUD,1424.62,Skrill,Pending,2021-10-26 00:00:00,49.4,8.81,1.0242,Stripe
PAY_45A823EE,USR_FE6E378D,Withdrawal,6182.8,AUD,4514.01,Bank Transfer,Failed,2020-04-02 00:00:00,42.5,48.44,1.4496,Crypto
PAY_ADC690FE,USR_551C8F29,Withdrawal,8130.69,JPY,7292.47,Credit Card,Pending,2024-10-20 00:00:00,71.1,42.81,1.2113,Bank
PAY_30555896,USR_B0050D85,Withdrawal,8847.79,CAD,1036.68,Skrill,Failed,2020-01-27 00:00:00,42.3,40.78,0.8574,PayPal
PAY_E7D2522C,USR_D2DC6AED,Withdrawal,272.62,USD,3624.97,Credit Card,Failed,2024-07-18 00:00:00,58.8,17.82,0.8337,Stripe
PAY_843461B4,USR_F864B0DB,Withdrawal,6297.48,GBP,6199.93,Neteller,Failed,2020-10-09 00:00:00,59.4,2.6,1.1234,Crypto
PAY_A13DCEBB,USR_722A0776,Deposit,5005.61,GBP,6632.96,Skrill,Cancelled,2021-01-03 00:00:00,33.6,20.12,1.4323,PayPal
PAY_75D9FD75,USR_FFFF8127,Deposit,7459.0,GBP,3963.68,Skrill,Failed,2022-03-02 00:00:00,57.4,48.18,1.1602,PayPal
PAY_7290E11E,USR_6461ABB7,Withdrawal,3320.16,GBP,6898.13,Bank Transfer,Pending,2022-09-04 00:00:00,34.1,3.91,1.4336,Stripe
PAY_3479BFBF,USR_CF2E1A2C,Deposit,9228.81,AUD,6027.54,PayPal,Completed,2022-05-12 00:00:00,38.5,47.01,1.0898,Stripe
PAY_11BF83FF,USR_31BE4396,Deposit,9515.1,USD,459.79,Skrill,Completed,2022-12-28 00:00:00,64.3,23.09,0.8628,PayPal
PAY_94DCEB39,USR_2E3FFF69,Withdrawal,2302.87,EUR,7812.16,PayPal,Failed,2020-06-10 00:00:00,11.2,13.47,1.2151,PayPal
PAY_7CCE3691,USR_C5B8EE62,Deposit,2304.97,CAD,9563.74,Neteller,Failed,2024-11-17 00:00:00,30.1,19.04,1.4189,Crypto
PAY_2A227E66,USR_170E91E3,Deposit,5946.75,AUD,479.05,Credit Card,Cancelled,2020-07-20 00:00:00,26.7,13.94,1.0538,Crypto
PAY_8A3525C5,USR_219F7E52,Withdrawal,1567.73,AUD,6062.33,Skrill,Pending,2022-12-05 00:00:00,15.4,24.0,0.8727,Crypto
PAY_3C525F39,USR_14FFBDDB,Deposit,1539.53,EUR,434.13,PayPal,Cancelled,2024-10-27 00:00:00,26.6,16.18,0.8071,PayPal
PAY_6891EEE7,USR_5F5E3D26,Withdrawal,6498.15,AUD,4720.65,Credit Card,Pending,2020-07-10 00:00:00,24.8,30.0,0.8629,Stripe
PAY_EC1B8FA5,USR_4BB427A4,Withdrawal,408.6,USD,4260.5,PayPal,Completed,2024-08-05 00:00:00,27.0,38.05,1.3747,PayPal
PAY_7673ED9B,USR_8BFA1B2B,Deposit,2694.54,JPY,5666.25,Skrill,Pending,2023-10-21 00:00:00,34.7,39.77,0.8316,Crypto
PAY_0F9C12B9,USR_866DAE36,Withdrawal,3963.08,EUR,9183.29,PayPal,Cancelled,2020-12-08 00:00:00,61.8,44.05,1.1295,Bank
PAY_F457F7C4,USR_CB27B0F5,Withdrawal,5162.36,USD,1610.28,Neteller,Completed,2023-01-09 00:00:00,34.7,4.04,0.8371,Bank
PAY_FB58B29C,USR_D00CCF50,Withdrawal,6057.15,EUR,7855.91,PayPal,Pending,2021-12-13 00:00:00,28.1,41.84,1.3024,Crypto
PAY_27C453F6,USR_3F556F41,Deposit,2494.2,JPY,5942.21,PayPal,Cancelled,2021-11-13 00:00:00,11.3,3.15,0.8672,Stripe
PAY_C6D021DB,USR_79DD8394,Deposit,3395.22,GBP,4110.69,Bank Transfer,Cancelled,2021-11-11 00:00:00,10.3,32.36,1.1752,Crypto
PAY_BC2F59C7,USR_2E7C7718,Deposit,2866.85,JPY,9662.58,PayPal,Pending,2021-11-23 00:00:00,29.2,18.3,1.0649,Bank
PAY_C8FADE85,USR_C846A160,Withdrawal,7196.18,GBP,9594.5,Bank Transfer,Failed,2020-06-19 00:00:00,6.8,1.43,0.9971,Bank
PAY_D49B84E9,USR_DCEA45AD,Withdrawal,2456.78,USD,7348.14,PayPal,Pending,2021-12-27 00:00:00,35.1,18.22,1.2139,Stripe
PAY_17A44732,USR_A1C09E6D,Withdrawal,3800.4,USD,828.12,Skrill,Pending,2020-06-02 00:00:00,41.8,35.33,1.3169,Stripe
PAY_0B5CF790,USR_A3A21ED4,Withdrawal,593.3,CAD,230.89,Credit Card,Completed,2020-08-26 00:00:00,63.7,19.6,1.2581,Bank
PAY_D612489F,USR_7BB770D0,Deposit,2899.97,JPY,9892.79,Bank Transfer,Completed,2020-11-12 00:00:00,34.6,4.22,1.3232,Crypto
PAY_7F011101,USR_49D922DF,Withdrawal,2317.71,AUD,8989.76,PayPal,Cancelled,2020-06-08 00:00:00,24.5,23.25,1.3325,PayPal
PAY_B183693B,USR_46E479AE,Deposit,1792.64,CAD,4644.98,Bank Transfer,Completed,2022-11-03 00:00:00,71.0,18.97,1.2544,Bank
PAY_99803C36,USR_70E0282A,Withdrawal,8183.08,JPY,4724.24,Bank Transfer,Cancelled,2024-06-05 00:00:00,29.7,13.75,1.3004,PayPal
PAY_75826B5B,USR_D494C498,Deposit,2066.66,AUD,9044.69,Skrill,Pending,2020-02-15 00:00:00,10.0,32.03,1.1056,PayPal
PAY_90CD3168,USR_7CFD1058,Withdrawal,4576.81,USD,3278.93,Wire Transfer,Cancelled,2024-10-05 00:00:00,25.0,17.68,1.3157,Crypto
PAY_D1124B80,USR_B6F0641C,Withdrawal,6640.13,CAD,5346.96,PayPal,Failed,2023-10-24 00:00:00,17.6,10.21,1.2139,Bank
PAY_7D4D4F1E,USR_CA317C20,Deposit,4371.65,JPY,4132.23,Credit Card,Failed,2024-08-10 00:00:00,19.5,31.1,1.2658,Bank
PAY_84D6852B,USR_D88BC3CB,Withdrawal,8714.03,CAD,4912.71,Neteller,Cancelled,2022-04-17 00:00:00,55.6,21.76,1.4023,PayPal
PAY_C2642A1F,USR_F0FE26B5,Withdrawal,370.47,GBP,5985.86,Neteller,Completed,2024-01-10 00:00:00,64.4,27.59,1.1145,Bank
PAY_AFAD0047,USR_DE253DD6,Withdrawal,4259.97,CAD,7391.64,Bank Transfer,Pending,2023-11-23 00:00:00,8.2,16.17,1.2289,Bank
PAY_A5AE64E8,USR_86436FC3,Withdrawal,1909.43,EUR,448.44,Bank Transfer,Pending,2020-10-25 00:00:00,49.4,28.48,0.9095,Crypto
PAY_6B0A5053,USR_63219265,Deposit,930.35,AUD,4307.05,PayPal,Completed,2024-07-10 00:00:00,0.3,0.89,1.2185,Stripe
PAY_9718B3CD,USR_FE4CCD7F,Withdrawal,4816.67,EUR,9923.9,Skrill,Completed,2023-02-11 00:00:00,43.6,17.62,1.4294,Stripe
PAY_6C7AEB1D,USR_638C389E,Deposit,9070.37,USD,9371.42,Bank Transfer,Pending,2023-09-10 00:00:00,40.7,28.62,1.0032,Stripe
PAY_E0994A75,USR_3705F133,Withdrawal,748.5,CAD,8248.72,Skrill,Failed,2020-02-22 00:00:00,24.9,46.64,0.9987,Stripe
PAY_CE62FF99,USR_6564C371,Withdrawal,6705.06,AUD,7752.37,Credit Card,Pending,2023-01-20 00:00:00,41.1,49.62,1.2257,Stripe
PAY_4E06EAF0,USR_9D9DBDEB,Withdrawal,2155.59,GBP,2343.0,Credit Card,Pending,2021-10-21 00:00:00,33.3,40.07,0.8981,Bank
PAY_44CC90CE,USR_F393A687,Deposit,7569.16,JPY,1038.78,Neteller,Completed,2021-07-18 00:00:00,44.0,43.0,1.3811,Crypto
PAY_E4A6BCD6,USR_AE69F593,Withdrawal,9903.1,AUD,2820.15,Wire Transfer,Pending,2020-09-29 00:00:00,69.3,20.75,1.2444,Bank
PAY_C8863476,USR_EF7DD3A1,Deposit,9267.5,AUD,2310.53,Neteller,Failed,2020-10-02 00:00:00,59.4,32.92,0.9902,Bank
PAY_D22018C7,USR_670B205C,Deposit,743.43,JPY,783.67,Bank Transfer,Failed,2024-07-09 00:00:00,56.4,32.67,1.4946,Crypto
PAY_A77F4E4D,USR_4EDB7F5D,Deposit,5168.0,EUR,6503.65,Wire Transfer,Failed,2020-01-27 00:00:00,34.5,23.69,1.4931,Crypto
PAY_07A93A13,USR_7A5B7094,Deposit,5754.93,USD,2421.33,Bank Transfer,Cancelled,2024-09-05 00:00:00,68.2,9.67,1.0125,PayPal
PAY_692EDCEB,USR_DA9CA5D0,Deposit,5924.04,CAD,8208.48,Skrill,Pending,2023-07-06 00:00:00,60.7,38.33,1.3874,Bank
PAY_A926B88B,USR_0246D728,Withdrawal,5835.18,JPY,4303.18,Wire Transfer,Cancelled,2022-09-20 00:00:00,44.2,15.19,0.8151,Crypto
PAY_00E03247,USR_F6D41EEE,Withdrawal,1586.55,USD,7083.76,Neteller,Cancelled,2023-07-21 00:00:00,60.8,46.02,1.1915,Bank
PAY_B39E8E20,USR_BA481868,Withdrawal,6732.08,GBP,4849.78,Wire Transfer,Cancelled,2023-12-14 00:00:00,29.3,6.9,1.1784,Stripe
PAY_4C38AE87,USR_D2DC6AED,Withdrawal,7670.03,AUD,7609.52,Skrill,Cancelled,2020-05-28 00:00:00,9.4,27.46,1.2185,Bank
PAY_ADF96B08,USR_6303D028,Deposit,9610.88,USD,2260.03,Bank Transfer,Cancelled,2020-01-02 00:00:00,8.5,26.0,1.1642,Crypto
PAY_A659E0C5,USR_E26AAA73,Withdrawal,1220.5,AUD,2907.25,Wire Transfer,Failed,2022-03-10 00:00:00,66.2,24.23,1.4569,Crypto
PAY_72A5D1E0,USR_508DA135,Deposit,6945.18,JPY,4595.74,Credit Card,Pending,2020-07-07 00:00:00,19.7,8.79,0.995,Stripe
PAY_BF2A4FE8,USR_1413FE81,Deposit,8783.54,EUR,5844.11,PayPal,Failed,2022-07-20 00:00:00,26.8,38.02,0.9589,PayPal
PAY_9701BD9B,USR_59CC1F12,Deposit,4882.33,JPY,4281.73,Skrill,Completed,2023-11-08 00:00:00,38.0,8.63,1.4199,Stripe
PAY_74F0D794,USR_27764271,Deposit,6377.84,USD,3858.23,Credit Card,Cancelled,2022-11-03 00:00:00,66.5,3.81,1.3702,Crypto
PAY_4D6B028F,USR_8EBF0E78,Withdrawal,6520.26,USD,6088.53,Neteller,Cancelled,2023-02-13 00:00:00,72.0,9.99,1.0791,Bank
PAY_EDCF0E19,USR_3E576059,Withdrawal,8953.87,EUR,892.76,Bank Transfer,Pending,2024-05-03 00:00:00,25.2,25.04,0.8262,Bank
PAY_CAB5056F,USR_77A55569,Deposit,2731.6,USD,2397.43,Credit Card,Pending,2022-06-29 00:00:00,15.0,32.61,1.192,Stripe
PAY_79916F3B,USR_84C59B79,Deposit,1443.56,CAD,4069.44,PayPal,Cancelled,2024-04-04 00:00:00,51.3,40.83,0.8894,Bank
PAY_D9363F93,USR_291ECF46,Withdrawal,7880.62,USD,3813.47,Bank Transfer,Completed,2020-03-18 00:00:00,20.9,18.22,1.3289,Crypto
PAY_02F410FF,USR_D5903166,Withdrawal,7316.78,USD,3033.98,Neteller,Pending,2020-03-22 00:00:00,60.4,39.45,0.8448,PayPal
PAY_CB51B7D6,USR_B647AD7B,Deposit,5813.94,USD,7621.71,Neteller,Cancelled,2021-10-24 00:00:00,53.6,48.94,1.3797,PayPal
PAY_035759ED,USR_78EF7247,Deposit,6262.01,EUR,1055.3,Bank Transfer,Cancelled,2023-06-29 00:00:00,10.0,35.31,1.3713,Crypto
PAY_F5B39BA9,USR_2E6FCEDF,Withdrawal,2326.75,EUR,3095.93,Skrill,Cancelled,2021-01-08 00:00:00,43.5,13.63,0.9393,Stripe
PAY_36DE561A,USR_78B81BCE,Deposit,5679.34,GBP,1755.26,Wire Transfer,Pending,2020-03-29 00:00:00,18.2,47.1,1.3658,PayPal
PAY_FB134695,USR_0BD33939,Deposit,5598.34,GBP,2397.63,Neteller,Cancelled,2021-05-05 00:00:00,33.9,25.56,1.3923,Crypto
PAY_C6EDB9D0,USR_48251DF5,Deposit,7223.91,CAD,4263.2,Credit Card,Failed,2022-05-16 00:00:00,40.2,34.96,1.3243,Bank
PAY_C3226775,USR_A76B9935,Withdrawal,3871.04,USD,5513.74,PayPal,Completed,2021-01-09 00:00:00,67.2,47.27,1.4686,Bank
PAY_A8168A5B,USR_C371D1BB,Withdrawal,698.0,EUR,5443.94,Wire Transfer,Completed,2024-01-05 00:00:00,69.9,4.31,1.4077,Bank
PAY_F56FC8BA,USR_7FC36377,Deposit,4554.15,JPY,6619.86,Wire Transfer,Failed,2020-03-07 00:00:00,51.0,15.25,1.2249,PayPal
PAY_1757DC57,USR_9E3C8D7F,Deposit,9662.83,GBP,3744.41,Bank Transfer,Cancelled,2023-08-22 00:00:00,1.2,48.49,1.4853,Bank
PAY_2B777565,USR_9C48AFCB,Deposit,2749.88,GBP,3483.87,Bank Transfer,Cancelled,2024-04-24 00:00:00,51.5,24.97,0.9331,Crypto
PAY_B3374439,USR_ED63A875,Deposit,2747.74,JPY,219.9,Bank Transfer,Pending,2021-07-14 00:00:00,67.8,18.77,1.4404,Crypto
PAY_C5C848AB,USR_6BF42351,Withdrawal,1305.12,CAD,1725.7,Wire Transfer,Cancelled,2021-09-16 00:00:00,44.0,31.51,1.4518,Bank
PAY_B699673F,USR_2A25D2CA,Withdrawal,756.0,JPY,530.44,Neteller,Pending,2022-12-07 00:00:00,50.7,32.79,1.4608,Crypto
PAY_5F363FD2,USR_405A57B5,Deposit,1742.6,GBP,4895.54,Bank Transfer,Failed,2023-08-16 00:00:00,42.2,0.09,0.8312,Bank
PAY_C9B3017C,USR_DF902803,Withdrawal,7990.45,JPY,9211.34,Bank Transfer,Completed,2024-07-16 00:00:00,14.1,39.79,1.2964,Stripe
PAY_E243FA25,USR_1F6AC836,Deposit,7204.6,GBP,3273.99,Wire Transfer,Cancelled,2020-06-09 00:00:00,47.7,18.96,0.954,Stripe
PAY_28A5978C,USR_8FCA0E96,Withdrawal,4995.27,AUD,6808.47,Skrill,Failed,2022-04-25 00:00:00,2.5,41.86,1.4662,PayPal
PAY_1F8E654F,USR_55F43E07,Withdrawal,3648.41,CAD,975.05,Credit Card,Pending,2022-07-30 00:00:00,35.7,27.46,1.0009,Crypto
PAY_73A96C65,USR_CFE12C68,Withdrawal,5973.92,USD,7376.06,Bank Transfer,Completed,2021-06-10 00:00:00,36.9,9.74,1.3717,PayPal
PAY_38E26562,USR_DC5540C9,Withdrawal,1400.35,CAD,2062.59,PayPal,Completed,2022-11-29 00:00:00,6.6,2.15,1.1459,Stripe
PAY_F9A2324F,USR_72FBF155,Withdrawal,5210.48,GBP,4916.95,Credit Card,Completed,2022-07-17 00:00:00,50.6,10.24,1.3697,PayPal
PAY_53E613E7,USR_45B79071,Withdrawal,4533.16,GBP,2279.85,Wire Transfer,Pending,2024-08-17 00:00:00,10.7,4.89,1.4127,Bank
PAY_8250B38F,USR_5F68D698,Deposit,7875.36,GBP,1591.82,Credit Card,Failed,2024-10-04 00:00:00,52.4,8.44,1.3031,Stripe
PAY_526D403F,USR_83AA9A87,Deposit,9765.35,EUR,7276.5,Neteller,Pending,2020-09-27 00:00:00,13.8,41.18,1.3355,Bank
PAY_97966F45,USR_79B60730,Deposit,9383.94,AUD,3488.62,Wire Transfer,Failed,2024-01-15 00:00:00,24.2,29.14,1.0939,Bank
PAY_91C173D1,USR_8206A3F8,Deposit,1478.65,USD,1330.99,Wire Transfer,Pending,2021-07-20 00:00:00,15.7,16.12,0.9357,Stripe
PAY_64D4E609,USR_5A7D97ED,Deposit,6910.11,USD,8736.5,Neteller,Completed,2020-01-10 00:00:00,1.9,45.15,0.9049,PayPal
PAY_D2872836,USR_F476C456,Deposit,1797.78,JPY,755.15,Neteller,Failed,2021-11-20 00:00:00,23.2,27.82,1.2123,PayPal
PAY_CAD83549,USR_328F58D3,Deposit,6987.28,AUD,8844.2,Neteller,Pending,2020-12-21 00:00:00,32.0,12.13,0.8819,PayPal
PAY_8ABEEA36,USR_C51D663E,Withdrawal,1717.08,AUD,6938.09,Neteller,Failed,2020-05-08 00:00:00,58.3,6.87,1.1565,Stripe
PAY_1CB2F456,USR_CFECD4B5,Withdrawal,2536.53,GBP,2038.39,Wire Transfer,Completed,2024-04-30 00:00:00,30.6,23.35,0.8278,PayPal
PAY_ECA6D561,USR_5B9E8BC6,Deposit,7375.22,GBP,6862.98,Skrill,Failed,2023-02-03 00:00:00,21.1,47.43,1.2869,Bank
PAY_B75DC9D5,USR_02876DCA,Deposit,440.5,EUR,9239.54,Bank Transfer,Cancelled,2023-01-19 00:00:00,5.8,28.35,1.2587,Crypto
PAY_043A2699,USR_FBCA7D38,Withdrawal,7430.4,JPY,4463.6,Skrill,Completed,2022-04-19 00:00:00,14.6,15.13,1.1022,Stripe
PAY_666A8F43,USR_ECECCAC7,Deposit,3935.26,CAD,3213.37,Skrill,Cancelled,2024-09-06 00:00:00,21.5,7.66,1.1916,PayPal
PAY_9D57E5D7,USR_C9C29653,Deposit,5285.69,CAD,8433.09,PayPal,Cancelled,2021-02-04 00:00:00,67.3,11.76,1.1291,Stripe
PAY_06690EE4,USR_7C5AEC83,Withdrawal,4764.63,AUD,2707.23,Bank Transfer,Completed,2023-03-20 00:00:00,14.5,8.21,1.24,Crypto
PAY_CB11E01D,USR_EE32BFA4,Withdrawal,1167.04,USD,6530.83,Wire Transfer,Completed,2022-06-22 00:00:00,47.3,13.23,0.8428,Bank
PAY_F9711B7F,USR_5C4FB390,Deposit,4818.02,AUD,574.1,Bank Transfer,Completed,2020-05-16 00:00:00,22.1,17.04,0.8661,Stripe
PAY_6E4EC50F,USR_0D965554,Deposit,336.0,JPY,764.32,Neteller,Completed,2024-11-02 00:00:00,8.2,15.72,1.1061,Stripe
PAY_CCC01A0A,USR_5A0D48BD,Deposit,9440.26,USD,9520.46,Skrill,Completed,2020-08-17 00:00:00,6.3,10.34,1.4255,Stripe
PAY_84B565C2,USR_B67E1C63,Withdrawal,4930.37,AUD,286.73,Credit Card,Failed,2024-01-07 00:00:00,52.3,0.33,0.8653,Stripe
PAY_480DB5CB,USR_53934479,Deposit,7920.38,EUR,8014.32,Skrill,Pending,2020-05-23 00:00:00,2.0,2.65,0.8172,PayPal
