copy_id,follower_user_id,trader_user_id,start_date,end_date,copy_percentage,max_copy_amount,total_copied_trades,total_pnl_usd,is_active,stop_loss_enabled,take_profit_enabled
CPY_9A7BAE95,USR_3F8ADDC8,USR_E715B2C3,2020-12-25,,25,1813.98,99,683.05,False,False,True
CPY_1BD7C807,USR_86E18A2B,USR_43E9CFD8,2022-09-21,,25,4644.08,72,1132.3,True,True,False
CPY_60AAB1EA,USR_DB65541D,USR_7611C352,2022-12-28,2023-08-10,100,4807.24,198,1012.13,False,False,True
CPY_969BF809,USR_A62613A7,USR_FF38E248,2022-12-10,2023-05-06,10,1804.47,120,1669.45,False,True,False
CPY_80B72808,USR_8D962D7E,USR_6605C713,2020-05-05,2021-05-14,25,396.49,110,465.59,False,False,False
CPY_980A483D,USR_03A734DE,USR_405050A7,2021-01-12,2021-12-28,20,3561.59,133,1548.56,True,False,False
CPY_ED61A0CE,USR_0BFAF5BD,USR_DD744F7E,2023-03-07,,10,4942.05,28,1913.71,False,True,True
CPY_0A6F6852,USR_CF437FB3,USR_5A9B9D8C,2021-12-01,,10,656.43,184,597.28,False,True,False
CPY_FBB8374D,USR_7B5163F8,USR_602B92D7,2023-11-29,2025-05-15,100,4017.67,104,1849.05,False,True,True
CPY_B7688FAA,USR_D80F14EC,USR_37946ECD,2023-05-12,2023-06-15,10,4947.07,114,-92.2,True,False,True
CPY_62433C12,USR_752DB877,USR_078E93C6,2021-07-17,2023-02-15,20,1208.24,53,1216.75,False,False,True
CPY_C919D736,USR_3925203E,USR_624A69DF,2021-05-05,,10,432.01,28,-814.88,True,True,False
CPY_6BC0A0EB,USR_07F093F2,USR_F224CC0E,2020-08-03,,100,1037.77,132,-7.04,True,False,False
CPY_E7D89D77,USR_CFCCB124,USR_382C6128,2021-02-16,2021-06-19,75,2158.76,125,-905.81,False,True,True
CPY_57ED6745,USR_78D0E86C,USR_901ED5A1,2021-06-25,,50,4824.6,134,-212.12,False,False,True
CPY_B8A9D6F7,USR_B3D662E7,USR_BFE1A662,2021-01-23,,20,2615.26,132,425.03,True,False,True
CPY_429B547C,USR_C02D3EC2,USR_DF4F66FF,2023-11-14,2024-07-18,75,1110.68,149,337.68,False,True,False
CPY_DF121205,USR_707D92B5,USR_45F8CC8A,2023-05-09,,10,4846.15,30,-442.64,True,True,True
CPY_33AC63C1,USR_F03AC3D6,USR_B1C7C555,2020-11-22,,100,717.85,175,323.92,True,False,True
CPY_0088BB00,USR_6F4E379C,USR_078E93C6,2020-09-13,2021-03-10,20,4902.02,152,1114.81,True,False,False
CPY_475DBC66,USR_C0C7E1EE,USR_211A4DE0,2020-03-06,,10,2341.97,124,1877.69,True,True,True
CPY_FAF626EF,USR_17860463,USR_A0A55EC2,2020-12-13,,50,2607.19,101,1551.28,True,False,True
CPY_0BC3ABA0,USR_10CA8C04,USR_61994B23,2021-12-09,,10,468.15,116,302.63,True,True,False
CPY_9455870E,USR_9B26E546,USR_196FC0F3,2021-06-19,,25,2428.44,31,1591.11,False,True,True
CPY_5BBD03D3,USR_E8C3B2CD,USR_402C8C16,2023-06-12,,75,1962.74,15,-586.3,False,False,True
CPY_A04D4C80,USR_D2C0C5B4,USR_A48D8CBF,2020-04-05,,25,1944.23,55,346.04,False,True,True
CPY_2342663D,USR_B74B75C0,USR_6819C164,2020-05-22,,20,4778.9,151,-699.01,True,True,False
CPY_5F6A97BC,USR_DCB5EFFD,USR_DC24F222,2021-04-05,2021-12-21,20,1664.55,10,1732.1,False,True,False
CPY_6EA806F5,USR_47A5A2DE,USR_E531BE55,2020-02-03,,50,2171.38,50,565.61,False,False,True
CPY_1F285DB7,USR_40070F4B,USR_38AC9EC9,2020-11-15,,25,1842.58,130,-748.69,False,True,False
CPY_7DE4B97F,USR_7FFFEFF1,USR_F23139B9,2023-09-26,,75,2327.75,63,1165.69,False,True,False
CPY_019B109A,USR_5CA378B6,USR_2D777794,2022-06-13,2023-10-06,10,4087.85,16,-469.61,True,True,True
CPY_055BEA2E,USR_9FFE7EBD,USR_6E91B31B,2020-02-13,2020-05-14,20,4521.25,149,251.55,True,True,False
CPY_186F2123,USR_D08EBDD9,USR_D24FBE2E,2023-05-14,,75,1259.68,199,1870.0,False,True,True
CPY_BB8C0C7E,USR_6A797450,USR_F6543974,2021-10-19,,100,1326.67,6,1789.86,True,True,False
CPY_9416F309,USR_4982DEF2,USR_ACABAA86,2020-08-22,,10,873.23,194,1463.22,True,False,True
CPY_A96D4D45,USR_652E6CC0,USR_8B3BDF7F,2023-01-26,,50,2981.7,125,-823.18,False,False,False
CPY_39C254A7,USR_D9DC9BFE,USR_AF4A6DBC,2022-06-10,2023-02-23,20,1748.15,168,701.03,False,True,False
CPY_F56DC0A9,USR_792FCF1D,USR_924395F9,2021-09-15,,20,3854.61,55,1630.61,True,True,True
CPY_3E1E2F2A,USR_EF337AFF,USR_DE7E1C04,2021-07-21,,75,4892.91,167,-988.3,False,True,False
CPY_DD876E51,USR_B66324D8,USR_F484DC76,2020-10-07,,25,3058.37,29,1795.65,True,True,False
CPY_887AD0B5,USR_6DCCA3D7,USR_24D3F57B,2020-08-13,,100,916.05,173,308.4,True,True,False
CPY_D3B947B8,USR_AFE603AC,USR_A72C986D,2020-04-09,,20,2937.51,119,1157.06,True,True,True
CPY_A8AB6DF3,USR_321061B3,USR_B056C5BA,2023-04-16,,20,3957.62,41,-799.94,True,True,False
CPY_6ACFCD3C,USR_1E74EA18,USR_167FEA1A,2021-05-11,2021-12-20,100,3789.05,110,106.17,True,True,True
CPY_8DE77A88,USR_71F39863,USR_EDAC86A0,2020-01-19,,100,791.28,14,301.59,False,False,True
CPY_309DCD54,USR_D31ED31D,USR_D1BB4554,2023-02-01,,100,2167.19,113,1070.08,False,True,True
CPY_D96645D2,USR_31517DF9,USR_25E7AD0E,2021-01-14,,10,1368.26,177,-285.1,False,True,False
CPY_9D67D5C7,USR_BDAD1238,USR_257A0E4F,2020-06-25,2020-10-28,10,1079.54,108,1034.27,False,False,False
CPY_D846A275,USR_92095A14,USR_DD105880,2023-01-25,2024-01-29,25,2224.58,117,782.7,True,True,False
CPY_97CD25F0,USR_F23139B9,USR_B4BCE50E,2020-02-16,,20,1333.41,125,69.08,False,True,False
CPY_63978F14,USR_33914254,USR_5453E6B3,2020-11-18,,25,738.11,21,205.8,False,True,False
CPY_508E42FD,USR_02B0360C,USR_3ED5FC74,2020-08-12,,25,2229.34,179,1864.93,True,False,False
CPY_AEDCF5BF,USR_DB433103,USR_031E6902,2021-05-27,,100,1913.31,199,-266.42,False,False,False
CPY_CE8CC33A,USR_B05279CD,USR_7EC82D77,2023-07-29,,50,1682.76,174,1223.75,False,False,True
CPY_230D2980,USR_49EF517C,USR_E5C846E7,2020-02-14,,50,4379.86,87,484.57,True,True,True
CPY_A76A8296,USR_34EEDB37,USR_01B69D6A,2021-04-13,,75,2482.02,41,1136.01,False,True,False
CPY_598ED288,USR_F7A960F2,USR_A0DCBA39,2023-01-05,,100,2407.71,183,403.73,True,False,True
CPY_EE17ABDC,USR_A99A800A,USR_19C2A944,2022-01-11,2023-05-26,100,836.36,124,1229.2,True,True,False
CPY_9320295E,USR_B3D662E7,USR_F8DA50F6,2020-08-03,2021-12-19,100,3316.42,36,748.77,False,True,True
CPY_1FA0D990,USR_38F96F8B,USR_ACBE2A8F,2021-05-19,2022-03-14,50,791.13,139,-461.75,False,False,False
CPY_CE9CE000,USR_A0A2FA48,USR_375FB135,2021-08-11,2022-09-15,25,1301.78,55,-155.68,False,False,True
CPY_72AE5377,USR_4EBFAF68,USR_72D503E9,2023-08-04,,10,1529.7,190,1522.15,False,False,False
CPY_02DE91BD,USR_5E3F07D1,USR_D99CEDDA,2021-11-01,,20,4637.25,111,890.82,True,False,False
CPY_3E5178F8,USR_D71C0B8B,USR_5B2BD7B7,2021-09-24,,25,2639.07,100,-787.62,True,True,False
CPY_B8C633D8,USR_1CBB86A1,USR_E312A46A,2024-01-21,,25,4528.76,9,-58.39,True,True,True
CPY_E264D142,USR_26081BA4,USR_03BE5EEB,2021-03-26,2021-11-19,75,4356.94,41,1296.84,False,False,False
CPY_9F35990F,USR_0A26A31E,USR_2A5F9C6A,2022-12-20,,75,3689.01,101,251.08,True,False,True
CPY_BD93A017,USR_E5424EF3,USR_8A254D8F,2022-12-15,,25,3503.95,164,-805.02,False,True,True
CPY_44C1FCB2,USR_2210829A,USR_5B9DC3C3,2021-08-02,2022-09-03,75,3615.85,96,-759.82,False,True,True
CPY_51ED855A,USR_7FE5A0A1,USR_DF4F66FF,2023-04-11,,25,4423.36,111,354.06,False,True,True
CPY_8C377AA9,USR_945EFD73,USR_F1F80159,2023-03-28,2023-11-17,20,2767.91,183,689.53,True,True,True
CPY_480219DD,USR_3C9CFE54,USR_A0C5CF97,2020-11-10,2022-01-19,20,1706.3,91,383.71,True,False,False
CPY_B0C88351,USR_0B96AF73,USR_B3119253,2023-12-04,2025-02-17,10,3840.29,69,1880.29,True,False,True
CPY_C8E5B463,USR_64D6D711,USR_497C4372,2020-12-16,,100,3700.37,52,-428.01,False,False,False
CPY_A107ECAE,USR_DB33AF40,USR_EE748FFE,2023-09-22,,75,338.79,94,476.1,False,False,True
CPY_8DE8F8BF,USR_926C16DD,USR_7EC82D77,2021-01-03,,50,3921.99,116,1469.68,True,False,True
CPY_C4C76698,USR_C5A2E2CD,USR_4B029FA6,2020-03-30,,50,870.98,52,-36.38,False,True,True
CPY_53160B84,USR_1B5D313F,USR_84923E55,2024-01-06,,10,2565.52,92,1807.37,False,True,True
CPY_19F113C9,USR_D8D7908E,USR_8C4454E4,2022-03-19,2022-04-28,75,2522.87,198,1495.13,False,True,False
CPY_8558A1D0,USR_09BABE6E,USR_FDC1DEC2,2020-11-13,2021-10-16,100,1660.26,47,-411.92,True,True,False
CPY_812B0A4B,USR_8CFB39C7,USR_B3119253,2023-03-23,2024-07-08,20,4307.98,38,-560.26,True,False,False
CPY_2BE07C16,USR_80A5729B,USR_175EBAFD,2020-04-01,,75,1554.55,43,1960.5,True,True,False
CPY_1BA6A524,USR_A5CB2543,USR_C19ECDD9,2022-05-11,,20,531.19,152,-419.87,True,False,False
CPY_EECF71FB,USR_6AE282AA,USR_CFEFF11F,2022-01-03,,75,4314.03,59,-845.8,False,True,True
CPY_9226552E,USR_0CD5BE94,USR_EF337AFF,2020-01-31,,10,1110.38,76,-737.4,False,True,False
CPY_9DBBC1E8,USR_CABBEB1F,USR_A293D3D9,2022-06-03,,75,4855.56,110,-203.89,False,True,True
CPY_FD118C49,USR_0C75A0DC,USR_F6630DDD,2023-09-01,,10,384.44,156,-172.61,False,True,True
CPY_282C6AC7,USR_3A5E7860,USR_CE4B5643,2021-12-19,,100,521.59,72,-745.85,False,True,False
CPY_54D40FEB,USR_E319B04C,USR_EA348D43,2024-01-05,2025-06-22,75,4202.48,137,1080.94,True,False,False
CPY_A3DCCB72,USR_3F72F5EA,USR_AA85FB26,2022-03-08,,75,281.52,77,1768.65,False,False,False
CPY_59D695FC,USR_DDEA249F,USR_072199A8,2021-04-14,2022-10-13,20,1244.71,14,762.15,False,True,False
CPY_87E4D0EB,USR_D19D41AD,USR_C1F21727,2021-08-29,,50,1826.47,174,132.62,False,True,True
CPY_58DF5009,USR_7E026D9E,USR_211064EB,2020-12-03,,50,1915.39,100,-845.86,False,False,False
CPY_FC6D053F,USR_ED63A875,USR_E24589D4,2021-01-31,2021-07-20,25,3353.15,149,1339.8,True,True,False
CPY_DF8FE229,USR_0166FD4D,USR_8C4454E4,2020-11-28,2021-02-19,10,2093.71,31,-214.69,False,False,False
CPY_ED6BF8E4,USR_E0FC7C56,USR_BD6D1921,2023-01-20,,10,1228.67,148,566.72,False,True,True
CPY_A7D5C388,USR_C80C89E8,USR_640C241B,2022-01-22,,20,4100.78,38,1641.18,True,False,True
CPY_C342A595,USR_8C5D45D2,USR_42702797,2022-09-26,,25,4073.8,181,342.99,False,True,True
CPY_17D7FEBC,USR_DF1838BC,USR_34093EFB,2022-02-18,,20,1301.8,40,-375.75,True,True,False
CPY_D6145A76,USR_EEBBC273,USR_47833444,2023-05-08,2023-06-17,10,4466.33,182,471.37,False,True,True
CPY_2CE50D27,USR_06670099,USR_653587DF,2022-07-29,,100,4231.21,20,247.98,False,True,True
CPY_4D0E7C49,USR_BDBCC3EA,USR_D1BB4554,2024-02-08,,100,3416.71,48,698.06,False,False,False
CPY_9925B278,USR_62107B21,USR_0B38D860,2021-06-21,,75,4909.06,198,1220.62,False,True,False
CPY_E9968593,USR_5C3055DC,USR_03E74A4A,2021-10-13,,50,2621.84,191,362.59,False,False,True
CPY_7E5BC739,USR_CCCE8767,USR_DC88CF0A,2021-07-08,2021-12-03,75,2518.08,85,658.38,True,True,False
CPY_ADF1D25D,USR_AE975752,USR_19C2A944,2022-09-01,,25,3715.82,168,-712.19,False,True,True
CPY_F3B6DE1A,USR_DA0C3AB5,USR_E8A48AF7,2022-05-02,2022-08-09,50,513.53,171,984.5,False,False,False
CPY_8AB22F28,USR_AA2EDA35,USR_A0A55EC2,2020-04-24,2021-12-10,10,251.23,176,395.2,False,False,True
CPY_62C2570B,USR_15A4551C,USR_211064EB,2023-11-10,2024-01-20,50,4991.45,75,-787.37,False,True,False
CPY_C486E8CE,USR_9161EAE2,USR_2A38A0BC,2022-03-28,,75,2808.48,162,1897.41,True,True,True
CPY_FEBBFDCA,USR_A30A3A68,USR_BD561828,2021-03-25,,25,645.96,101,708.56,False,False,True
CPY_F275AC1D,USR_6CCA0A84,USR_299FC851,2022-03-03,2023-06-03,10,1657.88,136,-476.85,False,True,True
CPY_AEC0FCE3,USR_AE00E940,USR_0B38D860,2022-06-21,,25,3866.6,96,-690.19,False,True,True
CPY_381012AD,USR_F54342E8,USR_1BBD3D9D,2020-12-04,,75,3252.41,112,1265.68,True,True,True
CPY_740F1C22,USR_0BF70FE9,USR_072199A8,2021-03-07,,75,4967.96,101,-970.38,True,True,False
CPY_4534E07C,USR_B73A524C,USR_6C4DBA9A,2024-01-20,2025-04-25,50,1263.03,18,1832.81,False,False,True
CPY_297E27A6,USR_3E8B6274,USR_8716D5A5,2020-12-18,,100,1331.25,126,1283.33,False,True,False
CPY_F1116D6A,USR_18341050,USR_634E7362,2023-04-24,,10,521.32,74,772.12,True,True,True
CPY_14104BFD,USR_CCCE8767,USR_1C34D457,2020-05-07,,20,4854.19,171,294.83,False,True,False
CPY_91A0148B,USR_C5F3C614,USR_653587DF,2023-01-13,2023-03-27,25,4560.83,167,1046.16,False,True,False
CPY_074D0823,USR_73D6A865,USR_F54F2E34,2021-08-07,,10,4175.04,166,1241.52,False,False,False
CPY_DEEDE75F,USR_7C3D5481,USR_ACABAA86,2022-12-20,,20,3391.22,189,1889.8,True,False,True
CPY_670B9342,USR_57319C1C,USR_F484DC76,2021-02-22,,75,2997.48,180,1174.02,True,True,True
CPY_08BEA9E6,USR_DEADD743,USR_3ED5FC74,2021-09-30,,100,3685.77,155,838.63,False,True,False
CPY_BE047737,USR_5D5B59F6,USR_91DAA196,2021-09-08,2022-10-21,20,2170.3,28,886.78,True,False,False
CPY_D2962B61,USR_183B56CC,USR_BD561828,2022-06-07,2022-09-17,10,4966.17,194,1512.96,False,False,False
CPY_2B5E82AA,USR_CF7882B9,USR_EF7DD3A1,2023-07-17,2024-12-17,10,781.69,156,-668.33,True,True,True
CPY_24FDCA26,USR_A5DAF989,USR_CAAA7E98,2020-01-19,,50,2180.1,136,1356.18,True,False,False
CPY_F6592E65,USR_52154BFD,USR_05705BDC,2022-09-07,,100,783.2,8,939.02,False,True,True
CPY_8761EDD8,USR_C345F8B8,USR_D9B64748,2020-04-06,2021-03-11,20,225.71,200,-893.89,False,False,False
CPY_41C1FF18,USR_2E59458B,USR_AFF53406,2022-08-05,,100,1634.09,27,-176.83,True,True,True
CPY_99C16EE3,USR_BCE645AC,USR_08CBF407,2022-09-08,,75,3370.03,105,530.15,True,True,False
CPY_36B2A484,USR_513A7556,USR_510CACA0,2022-03-14,,75,877.85,100,5.41,True,False,False
CPY_F3E1220A,USR_211BAF80,USR_02CA93FF,2021-07-01,,10,4605.06,190,463.37,True,False,True
CPY_D2552C99,USR_3364BB60,USR_39D5A3EB,2020-07-24,,50,874.15,22,486.89,True,True,False
CPY_54EF23AE,USR_F41A714C,USR_15A901A3,2022-01-19,,75,550.99,63,521.69,True,True,True
CPY_FDB1713A,USR_BD506E60,USR_E5C846E7,2022-02-11,2022-09-30,50,4638.97,127,841.47,True,True,False
CPY_C25A7AD7,USR_F98B118E,USR_375FB135,2020-08-31,,10,3334.34,117,-966.83,True,True,True
CPY_78E1E426,USR_66883E00,USR_634E7362,2022-11-26,2023-03-06,20,803.07,73,696.94,False,True,False
CPY_0F05ACC2,USR_C9E9AD5D,USR_E2DBF3D0,2022-11-14,,50,141.31,43,1757.67,False,True,False
CPY_B22B3215,USR_807C514A,USR_0F68A31D,2021-11-04,,20,3069.46,70,266.07,False,False,False
CPY_13BB85A9,USR_FF38E248,USR_C0430B74,2020-12-08,2021-07-11,10,1859.73,115,-245.94,True,True,True
CPY_DC0D0D67,USR_C4CEB0FA,USR_4B029FA6,2020-09-03,,100,1617.79,141,862.92,False,False,False
CPY_7B6FDC07,USR_5F7667DC,USR_45F8CC8A,2021-12-15,2023-04-29,75,1899.46,83,469.15,True,True,False
CPY_0C8FBA7D,USR_A707C923,USR_32418A43,2022-06-10,2023-02-05,100,2423.93,96,674.05,True,False,False
CPY_0FBB070D,USR_FEA9678B,USR_A707C923,2023-04-24,2024-10-02,50,2852.48,125,1620.15,True,True,False
CPY_1E9B7D47,USR_9E065E53,USR_469B70E5,2021-12-03,,25,671.04,23,1984.61,False,True,False
CPY_974B6DBC,USR_72FBF155,USR_9DFF0F86,2023-11-23,,75,496.56,65,1794.61,False,False,False
CPY_0FA70D33,USR_54F63523,USR_DEC26FB3,2021-04-28,,75,2364.69,100,-228.4,False,False,False
CPY_0270BEA8,USR_048F84F3,USR_C80FC1B3,2022-08-30,,25,3303.56,17,915.99,False,True,True
CPY_170DEC24,USR_17D7CECC,USR_E26AAA73,2022-09-01,,20,617.76,90,-352.73,False,False,False
CPY_ACE5FB65,USR_7AE2795E,USR_DE7E1C04,2022-03-12,2022-08-15,50,2315.08,21,296.9,True,False,False
CPY_E3C843AA,USR_58187B1D,USR_516F738E,2020-02-27,,100,4681.69,138,1762.06,True,True,False
CPY_6CA64507,USR_E452E9D4,USR_01B69D6A,2020-02-10,,75,822.88,152,44.49,True,False,False
CPY_837D4229,USR_3AF30638,USR_42DCCE5C,2020-04-08,,75,1071.32,89,1729.05,False,False,True
CPY_E68916C8,USR_E6FD942C,USR_97F4892A,2023-10-17,,50,2711.9,200,1326.5,True,False,True
CPY_9EAACDB3,USR_C4A2D5C1,USR_F953D359,2020-02-03,,20,4569.21,6,610.66,False,True,False
CPY_83DC943D,USR_563AD8DE,USR_106E3AED,2022-10-22,,10,2639.12,120,439.95,True,True,True
CPY_E49FE1A8,USR_B564B1CB,USR_75BCBD8E,2022-11-13,,25,997.25,90,1219.03,False,True,False
CPY_4912A95D,USR_9503B4E4,USR_9328DBDC,2021-10-20,,75,2088.52,80,-429.07,True,False,True
CPY_E0A53DF4,USR_F140357D,USR_8BE2BEE7,2023-02-16,,50,2148.56,111,1820.61,True,False,False
CPY_32A65DE4,USR_C34F0A18,USR_50129D25,2020-06-07,,100,713.51,58,520.9,False,True,True
CPY_D3B27CF2,USR_CB4F0185,USR_0485ED40,2021-05-18,,50,1194.38,165,-75.12,False,True,True
CPY_300C2DA1,USR_61DDA7D4,USR_E24589D4,2021-02-15,,75,3447.98,57,-725.74,False,True,True
CPY_129F98D7,USR_D51146AB,USR_CD637932,2022-02-23,,100,2761.6,109,1470.09,False,False,False
CPY_ED650A66,USR_A73D3235,USR_91DAA196,2021-11-24,,75,3193.5,16,-496.2,True,False,False
CPY_F626680C,USR_17A2B881,USR_196FC0F3,2021-11-30,,20,921.69,156,-981.54,False,True,False
CPY_D290EBF5,USR_454E71E7,USR_E16189A9,2022-03-16,,25,1044.28,137,1974.77,False,False,True
CPY_2B665D45,USR_E3A1DF3C,USR_F54F2E34,2022-04-01,,20,4618.65,166,-977.85,False,True,True
CPY_2B67F36E,USR_81013944,USR_F484DC76,2021-03-18,,100,1632.14,41,-480.51,False,False,False
CPY_DC490462,USR_54DA9812,USR_24998744,2020-03-05,2020-12-29,50,3700.2,84,-225.04,False,True,True
CPY_44C9BAE9,USR_5B7C1F82,USR_BDBE8A2D,2023-01-11,,20,3082.89,183,1457.45,False,False,False
CPY_3B496652,USR_0A722748,USR_F28E2A6D,2020-01-24,,10,3033.4,131,-843.41,False,True,False
CPY_8B562B99,USR_854C908E,USR_C31C4ECE,2021-07-17,2022-04-15,20,1841.99,95,-34.75,False,False,False
CPY_3CF72821,USR_BFCDB616,USR_A450C5E0,2021-10-06,,75,2187.96,91,1164.01,False,True,False
CPY_9D0CC515,USR_10985A57,USR_84D58A3B,2022-08-07,2023-01-12,50,2447.46,95,1921.19,True,False,False
CPY_97E450A5,USR_139E164B,USR_75CE8A41,2023-03-15,,50,3370.02,12,-372.29,False,False,True
CPY_B8BDB04C,USR_1B2F43A8,USR_2FADFABE,2022-01-13,2023-04-29,10,2833.59,45,-917.0,False,False,False
CPY_2B5806C4,USR_FCE4CF2A,USR_405050A7,2022-05-03,2023-05-12,20,687.71,25,-368.54,False,False,True
CPY_0A50D290,USR_1E0074D1,USR_ABFAF99B,2020-10-08,2021-06-24,20,1211.98,124,1731.18,False,True,True
CPY_08F6BEFB,USR_CD637932,USR_2E594A71,2022-03-01,,75,2764.0,62,947.36,False,True,False
CPY_33BB193C,USR_C5769DDB,USR_5FEBEBD8,2021-08-19,2023-04-11,20,4701.1,87,51.37,False,True,True
CPY_0F37EB81,USR_C6E7EE7B,USR_A37796A4,2021-03-27,,75,674.4,93,878.19,False,True,True
CPY_6FB85225,USR_6CC1C96D,USR_497C4372,2022-04-04,2023-08-19,20,2484.03,70,992.01,False,False,False
CPY_3BB8151E,USR_0BD33939,USR_7B822556,2021-12-21,,100,4434.64,103,337.86,False,False,True
CPY_024F1A2B,USR_DDE1BC7E,USR_7A40D7CA,2020-09-10,,100,428.29,34,50.27,False,False,False
CPY_18CF9315,USR_491FA469,USR_402C8C16,2024-01-08,,25,2091.17,178,1927.15,True,True,False
CPY_EA4313AF,USR_9011D813,USR_ECC3DBE0,2022-05-02,2022-12-08,20,2762.47,47,1452.73,False,True,True
CPY_957A3532,USR_B64D3ADA,USR_8DB423DE,2020-09-19,2021-05-29,100,3336.62,14,1710.89,False,False,True
CPY_35CB566D,USR_E5212C8E,USR_74577A14,2022-08-28,2024-02-05,25,1838.88,139,1893.2,False,True,False
CPY_9E23880D,USR_F4C499F6,USR_24D60426,2020-10-03,,25,4876.53,46,1414.05,False,True,False
CPY_6986C2B9,USR_CAE4010A,USR_CAAA7E98,2023-01-12,,75,1938.26,91,895.2,False,False,True
CPY_935A91CA,USR_A1EF8216,USR_9F0FA18E,2021-04-07,,25,3943.03,95,-969.68,False,False,True
CPY_0669604E,USR_FAEFA8A3,USR_9536B248,2023-02-15,2024-03-03,75,1615.52,106,1571.79,True,True,True
CPY_1B53B6B9,USR_C1522698,USR_5C27332D,2021-12-23,2023-07-13,20,4153.83,188,288.71,False,False,False
CPY_B4BBE9BA,USR_8AAF2EA7,USR_5B280F43,2023-11-08,2025-02-12,50,1884.58,90,1726.54,False,True,True
CPY_B761CE96,USR_FDF4779B,USR_78AFA051,2022-01-11,,100,3776.9,107,1424.68,False,True,False
CPY_009DED9E,USR_3412CA77,USR_41205C55,2021-04-04,,25,3805.77,12,651.63,False,True,True
CPY_99465F80,USR_7E5054C1,USR_BFB9C8A4,2021-06-27,2022-11-19,20,2803.21,73,56.75,True,True,False
CPY_3CDADA0B,USR_9F9024C7,USR_CEB0F7F2,2024-01-03,,50,1811.75,100,1992.35,False,True,True
CPY_0E86F56D,USR_1518CD1F,USR_A082AAB0,2023-09-08,,25,1431.77,151,1138.61,True,False,True
CPY_0098FF85,USR_1345A4B7,USR_D14CB448,2023-10-26,,25,4950.48,34,1724.98,False,False,True
CPY_7BD49451,USR_1B3910A5,USR_6E209C98,2023-12-24,,20,2826.64,49,398.35,True,False,False
CPY_F4AE886A,USR_5CF573F2,USR_A3E86A4B,2023-03-08,2023-10-18,75,3100.43,180,308.94,False,False,False
CPY_937AAE03,USR_C2546A9F,USR_A252D89F,2021-03-10,2021-11-23,50,315.87,57,-268.75,False,True,False
